As World War I broke out. ||| As ||| As World War I broke out, his company received large government contracts for use of the material.
As a model, before returning to Bendigo to help run the family jewelry business. ||| as ||| Leech briefly worked in Melbourne as a model, before returning to Bendigo to help run the family jewelry business.
While Kutuzov and Miloradovich waited for Strik's and Dokhturov's. ||| while ||| Mortier and Gazan waited for Dupont's arrival while Kutuzov and Miloradovich waited for Strik's and Dokhturov's.
After the arrival of another missionary, and Tararo's conversion to Christianity. ||| after ||| They are released a month later after the arrival of another missionary, and Tararo's conversion to Christianity.
After 18 minutes. ||| after ||| The Mexican army was taken by surprise, and the Battle of San Jacinto was essentially over after 18 minutes.
That moved back in, but the appeal for lbw was turned down. ||| that ||| Bedser beat Hassett second ball with a delivery that moved back in, but the appeal for lbw was turned down.
As a result of Garrard's relationship with Toulmin. ||| As ||| As a result of Garrard's relationship with Toulmin, he began to accept some tenets of Unitarianism, specifically the doctrines of Socinianism.
That will be directly affected by an eruption: pyroclastic flow, lava flow and other pyroclastic falls. ||| that ||| The dangerous zone is an area that will be directly affected by an eruption: pyroclastic flow, lava flow and other pyroclastic falls.
As prime minister on health grounds in October 1963. ||| as ||| The repercussions of the affair severely damaged Macmillan's self-confidence, and he resigned as prime minister on health grounds in October 1963.
As always. ||| As ||| As always, Bottomley's lifestyle required fresh sources of income, and in 1912 John Bull began to organise competitions for cash prizes.
As an assistant secretary at Lancashire. ||| as ||| The following March, he was appointed as an assistant secretary at Lancashire.
As Labour had unexpectedly lost the election to Edward Heath's Conservatives. ||| as ||| He resumed his place in parliament, on the opposition benches as Labour had unexpectedly lost the election to Edward Heath's Conservatives.
That day, based on observations from aircraft reconnaissance, Debby was upgraded to a hurricane. ||| that ||| Later that day, based on observations from aircraft reconnaissance, Debby was upgraded to a hurricane.
As a guest on Rhydian Roberts's talent show on S4C in December. ||| as ||| She also appeared as a guest on Rhydian Roberts's talent show on S4C in December.
Since unguided snowmobile access into Yellowstone National Park was also discontinued. ||| since ||| However, in 2009, winter use planners closed this since unguided snowmobile access into Yellowstone National Park was also discontinued.
Since Hurricane Claudette in 2003. ||| since ||| Hurricane Humberto was the first hurricane to make landfall in Texas since Hurricane Claudette in 2003.
After being outrun by the approaching Canada; Warren ordered the slowly following Magnanime to take possession. ||| after ||| Nearby, the struggling Coquille surrendered after being outrun by the approaching Canada; Warren ordered the slowly following Magnanime to take possession.
That climate change, weak economic growth and social factors could cause instability in South Pacific countries. ||| that ||| There is also a risk that climate change, weak economic growth and social factors could cause instability in South Pacific countries.
As a result. ||| As ||| As a result, the delegates moved to reign in some of the power given to the state's chief executive.
That could be carried, and smashed the rest. ||| that ||| From around 550 plates Hurley chose the best 150, the maximum that could be carried, and smashed the rest.
After Bowyer came into the pits. ||| after ||| On lap 98, Edwards became the new leader after Bowyer came into the pits.
Since the 1936 dedication. ||| since ||| The crowd attending the rededication ceremony was the largest crowd on the site since the 1936 dedication.
As Sussex captain in 1929 and retired three years later. ||| as ||| In following years, he played less frequently; he resigned as Sussex captain in 1929 and retired three years later.
After they had suffered a top-order collapse. ||| after ||| Harvey scored 112 in a first innings counter-attack to keep Australia in contention after they had suffered a top-order collapse.
That the Relief candidate would win by a margin of 4-to-1. ||| that ||| The Frankfort Argus, a pro-Desha newspaper, remained confident, however, predicting that the Relief candidate would win by a margin of 4-to-1.
That he might have some kind of diplomatic immunity did not work. ||| that ||| This attempt to convince the French that he might have some kind of diplomatic immunity did not work.
As a hostage to Macedon. ||| as ||| He chose to conclude an alliance with Antigonus and sent his son as a hostage to Macedon.
While denigrating Wyatt's lack of experience. ||| while ||| The press were united in attacking the decision, praising Chapman's batting and captaincy while denigrating Wyatt's lack of experience.
